가바,53,163
나아,47,182
바가,44,147
사하,91,185
자마,80,182
아하,52,145
라하,72,178
마사,90,145
타타,70,168
아파,43,175
카라,41,154
라라,98,173
다사,56,158
바차,81,160
라라,43,140
아타,82,175
바라,83,158
타사,79,174
아사,56,146
타자,94,142
카카,74,145
마자,58,167
나나,97,148
카차,59,156
다바,49,174
자카,88,187
가나,42,188
차타,94,150
사라,93,171
가가,45,177
하라,71,166
가자,74,154
라나,61,171
자사,61,187
타마,58,144
나아,58,168
사파,52,170
타라,63,147
라카,83,161
아나,94,145
가카,68,174
다타,44,156
바카,70,168
차마,93,154
차가,97,186
다바,82,172
가가,91,155
카바,61,168
카카,41,185
파다,95,150
카차,62,141
나자,59,161
자타,65,157
아가,40,166
파하,40,157
타다,77,172
가카,89,140
마자,70,163
하자,64,143
바바,46,160
가사,77,161
바파,56,164
자차,71,141
카파,97,155
아파,89,174
자아,51,159
차바,44,153
사하,84,181
사자,95,164
라차,92,174
카차,99,140
차아,65,172
차마,56,184
사마,98,183
아라,67,169
가나,78,143
마마,48,161
바아,91,189
다차,57,149
다파,48,172
파마,45,146
파마,49,156
하하,57,155
아사,72,188
차바,42,156
마가,62,181
다다,47,141
바바,83,157
라타,91,175
파바,74,165
바나,46,141
하파,84,160
사마,63,158
마라,69,143
바다,82,164
바아,41,156
사다,89,150
아아,87,167
나가,78,149
파마,41,168
파카,89,155
아하,77,150
하파,85,177
가아,66,154
바나,61,146
마나,59,147
바차,45,152
나하,64,183
가타,49,173
하자,55,179
카차,89,163
하다,63,176
하사,57,155
자타,61,170
카바,53,142
사파,74,160
라하,64,148
라아,62,154
하카,57,160
타자,55,170
차자,42,167
아바,51,163
아타,96,187
나다,83,145
차바,69,163
아타,46,165
자마,93,149
다차,78,178
타라,49,183
나카,93,188
가자,65,185
라하,88,186
차다,72,166
다나,45,167
다다,67,187
카다,49,183
바하,52,173
바차,48,173
라자,72,166
자사,85,154
라마,53,154
라가,80,164
나아,46,164
사라,44,171
라하,77,167
아차,59,168
차카,41,151
아하,56,167
카카,42,140
바차,60,148
하다,52,181
가파,72,176
파차,56,177
하나,44,174
가바,51,182
카나,75,161
사라,45,149
가자,88,159
가카,90,174
하파,58,151
하파,48,166
아가,80,178
하아,80,173
카사,50,165
다타,48,144
카아,94,177
자다,67,157
자사,83,147
사타,79,162
아마,69,169
카라,55,180
자타,48,148
가파,98,151
다차,41,183
카나,55,150
하바,40,172
차라,42,185
자라,50,183
다사,58,162
다마,46,148
나파,53,156
하바,51,157
하하,49,157
자자,47,182
차가,89,162
라라,55,170
바나,81,153
마타,75,187
차나,87,179
파라,67,142
사하,82,145
가파,61,160
타아,68,186
다타,70,183
카라,81,176
마하,97,153
다가,91,151
가다,88,182
파파,75,144
타바,40,158
가나,58,157
사라,53,179
하사,48,167
바가,91,163
자바,44,160
자파,72,170
나다,91,163
마라,71,141
파하,70,187
다차,73,151
마마,55,152
하파,87,157
사가,67,163
차카,84,188
카파,86,177
마사,46,174
마카,69,180
하사,90,171
차하,98,187
타차,91,186
다가,96,168
하다,63,189
라마,50,185
차차,89,166
차마,55,162
차나,93,180
가다,91,174
나파,96,185
자바,45,144
사차,69,181
파아,48,153
타하,68,176
카다,44,145
라자,48,148
라차,97,155
파파,68,176
가차,87,143
마다,68,155
나자,96,140
타파,92,178
사가,96,168
파마,90,144
아하,72,183
바사,90,165
다바,96,180
타카,96,145
나파,89,154
차자,43,185
나카,96,145
타타,71,160
카가,98,146
바나,56,143
마나,93,159
마다,79,178
나라,75,155
자마,47,171
차하,86,165
파자,83,155
라가,63,170
하카,89,141
나라,81,143
파라,54,168
자차,80,176
카하,57,161
마하,55,171
하차,49,186
가아,44,152
바자,70,156
사파,91,162
자자,81,142
나파,99,184
카차,86,161
사바,94,169
다자,99,153
바파,91,166
자아,88,154
타사,74,155
라타,61,158
사자,41,157
라차,78,169
사아,65,146
마차,65,181
바아,51,149
하카,96,175
차바,87,183
사아,62,144
파나,89,156
마가,80,180
가자,68,171
타가,84,168
타가,80,178
파라,75,182
마마,86,157
바하,89,174
타다,59,172
다파,86,175
카라,94,165
타하,82,140
사파,99,178
자카,55,177
라아,41,148
타타,75,158
자바,82,142
카차,93,151
사나,61,170
하자,61,185
타라,72,164
바다,71,171
하다,90,167
나아,58,149
마바,52,154
차자,88,157
나다,54,170
바라,50,146
타바,61,177
파파,43,186
라나,84,140
다차,65,187
차파,90,158
바자,72,188
바아,61,152
가나,97,184
다라,71,189
나하,77,149
파자,60,168
타라,83,176
나다,42,160
카하,89,176
사차,83,187
라라,46,152
바나,52,165
자바,77,170
나라,62,145
나바,61,158
라마,99,171
라아,81,177
라마,52,185
차자,91,186
마가,76,180
바가,62,169
카자,65,167
사바,85,164
마하,82,162
파파,66,166
다아,71,179
카사,41,183
파사,53,140
가아,66,146
파가,78,185
하아,89,182
다차,61,181
하하,56,168
차파,79,156
자라,40,172
라사,45,150
라하,91,141
마하,67,142
사다,97,186
가사,69,179
나아,53,158
바카,87,163
다카,44,152
파카,89,154
자가,80,148
바마,93,166
카자,43,189
사아,57,163
가바,90,157
마나,45,158
타바,50,165
타가,59,141
라아,64,158
가마,75,157
타타,66,164
자가,99,145
가나,69,145
하사,80,151
타하,62,189
마아,87,184
파사,89,174
나아,57,157
파바,41,189
카가,53,181
하나,48,157
라바,57,151
하타,53,142
가파,89,164
하마,72,146
다카,40,146
나라,73,189
차사,78,186
나차,84,176
카라,71,153
다차,40,186
하가,92,186
하타,90,166
파하,94,163
아타,83,157
나사,68,142
타타,89,147
다하,88,152
가자,96,169
자사,44,182
바카,45,174
가가,80,140
차카,92,160
다자,84,189
바차,46,145
아파,77,179
차마,50,186
카차,99,162
파라,43,142
가파,46,148
타하,88,184
마가,67,186
바자,65,188
하나,65,150
파사,69,173
사바,49,154
라타,75,186
바차,96,184
자가,66,186
하파,59,186
하파,96,161
자라,81,144
마카,73,187
라아,40,145
다다,73,152
타가,77,168
다자,40,171
가자,63,176
사하,77,164
다가,69,147
사아,62,144
하마,73,173
아차,64,146
타라,48,165
마다,88,144
다가,84,144
가라,63,183
다마,62,170
마카,47,148
카하,92,170
사하,76,155
파차,48,167
파다,76,151
바타,53,171
하마,54,158
바바,69,148
카자,48,160
타자,53,155
마라,60,184
바자,91,164
바바,54,187
아차,76,173
다라,76,179
타바,63,147
사타,95,150
다다,94,176
바가,41,168
하차,75,163
마카,95,174
차하,93,141
마마,67,157
가자,71,145
나차,92,142
바다,78,178
라파,71,142
바가,45,161
마카,52,169
파자,75,145
하라,62,184
다가,85,162
차차,52,174
차타,93,158
하아,53,186
바나,96,175
자바,76,152
타나,56,189
마마,98,176
자자,79,163
마마,44,186
마다,80,180
다마,98,144
나하,68,144
다파,82,148
파마,50,172
카파,65,179
파다,44,162
나다,93,159
카하,87,184
하카,65,184
다나,58,171
마바,97,144
가바,62,161
타마,51,185
하카,88,141
하카,66,189
마파,87,175
사나,72,165
타카,82,165
차사,64,182
하마,45,163
파바,77,171
타사,65,146
카파,84,157
바마,76,154
나라,74,147
하나,72,147
가라,58,159
라마,53,149
타사,76,144
바마,51,164
타다,56,150
차나,65,183
아나,86,150
파카,98,144
카나,58,184
파자,43,140
바자,54,159
나카,47,189
자타,55,149
가차,61,151
라사,58,162
차하,63,148
하자,71,164
카카,88,188
파카,89,143
차타,87,154
가나,87,161
사파,64,152
마바,64,140
파자,86,165
자하,89,166
카다,99,154
사카,44,166
가하,40,146
차파,65,140
사카,74,146
바다,54,142
타라,76,151
타사,96,150
카타,91,152
마타,99,142
타차,53,173
다파,48,142
자나,92,159
마사,71,182
가사,93,181
파라,87,163
가타,97,151
다아,40,176
파라,89,166
하파,88,148
아나,88,156
나바,42,177
자가,50,166
다카,52,146
카하,98,149
라파,70,158
카다,64,168
파카,76,157
나나,90,145
가자,86,181
바가,60,189
다바,82,169
마가,76,178
마자,93,183
타나,81,176
하사,76,150
나다,64,148
다라,67,156
자나,58,151
자바,66,151
아타,78,154
마가,66,182
하파,82,175
마마,56,187
파사,50,176
사라,45,150
하마,77,185
사카,95,170
하자,41,141
카다,67,157
나타,52,186
아마,50,170
하차,78,179
마다,50,167
라라,69,185
가마,99,185
카바,72,189
자사,95,171
다차,46,174
마파,61,154
파차,67,168
파차,83,141
다아,52,184
카차,99,183
나카,77,175
바파,69,184
가마,82,166
다타,97,175
바자,84,160
하나,48,163
차파,43,153
나파,43,179
사다,90,169
아나,73,165
가타,79,186
사하,65,160
파자,43,145
바파,92,152
하자,63,183
라하,54,146
카카,40,155
자하,51,175
차가,73,149
아마,97,160
사라,81,146
자자,71,177
라하,85,179
나바,44,146
가사,85,143
사바,83,167
사하,94,163
가마,83,141
마다,44,141
파하,68,163
가차,40,142
나카,97,170
카다,79,140
라가,80,153
사다,64,165
마타,53,152
바마,90,174
하다,78,184
마다,88,186
마라,45,181
타마,71,151
아가,64,185
가라,65,188
파가,92,152
차라,94,178
가라,87,166
마카,60,155
바바,89,172
다파,82,147
차나,71,160
차바,83,161
나카,90,165
타파,68,167
다카,69,181
하아,70,148
차타,90,187
라라,49,168
자타,74,162
파라,42,157
카다,77,186
사차,62,164
가파,54,167
마하,54,155
하하,97,165
라아,80,159
마타,67,144
마마,68,179
마나,76,182
바차,71,164
바나,95,183
마카,89,170
자파,84,172
바바,74,175
카하,47,152
나다,72,163
사하,70,152
다마,61,182
사사,51,153
바바,91,144
카나,94,175
파아,71,189
나마,87,145
차파,95,152
아나,82,148
가파,42,179
가아,44,188
하하,60,141
라다,46,155
다나,88,164
라차,94,170
타하,92,189
자가,98,168
다하,48,157
가마,91,156
파파,46,140
사나,85,164
하바,99,156
차사,48,144
다사,71,145
타카,44,154
마다,83,163
파자,80,155
사다,43,186
카타,84,166
자아,92,147
바나,89,158
차마,43,179
마사,73,158
바파,72,159
아나,75,163
바마,64,168
나자,52,141
가파,58,187
사라,96,145
사라,81,150
바아,83,156
카마,95,167
자바,89,171
사자,58,143
파파,43,154
바자,75,150
카다,73,153
아가,47,155
다바,65,161
마사,65,150
하파,80,171
가차,95,163
카사,82,182
바아,52,147
자타,44,176
사가,74,153
나사,40,182
바아,73,187
아타,55,173
차다,58,140
하파,42,154
마자,52,173
카마,87,188
나하,85,169
파자,42,145
마나,68,140
사나,56,181
아자,55,186
하나,60,158
사파,40,146
하카,57,175
파파,75,168
다차,90,174
타라,81,179
마하,44,141
가자,41,179
자카,71,163
차카,94,186
자자,81,168
바라,60,145
나가,51,169
타차,74,161
아사,46,153
아차,97,152
바차,85,145
나타,81,182
타차,53,144
나라,95,143
나나,45,142
카차,86,154
사나,62,170
바파,73,153
차아,71,179
차카,93,184
타아,66,147
다마,56,186
하카,53,189
아카,84,141
자타,79,183
파자,64,163
파마,88,178
마타,55,154
라카,48,189
다가,41,147
다차,91,141
자라,43,167
하라,46,165
하하,55,165
라다,58,183
라하,53,140
사타,66,183
하타,55,170
파타,51,144
나카,44,187
마자,89,177
가마,50,150
바바,59,151
라바,68,158
타바,40,159
하사,53,164
하바,72,180
가카,59,145
자타,49,167
라마,61,156
라파,88,174
파차,91,144
자다,87,178
바마,87,164
나타,97,166
카파,66,143
하바,97,182
다마,59,145
라카,43,149
가파,90,181
타라,50,156
마바,54,170
타하,46,151
차아,88,170
마카,62,175
라다,74,182
사하,76,140
라사,98,153
가타,42,167
바차,73,156
가차,46,175
가나,68,178
다자,57,152
나카,76,173
바파,59,183
파바,63,159
가마,74,172
아타,80,179
타가,91,187
가다,46,155
마파,87,166
차카,74,171
아타,74,183
라라,89,186
다마,77,149
가차,56,158
나가,92,175
차사,47,182
라타,99,166
나하,96,147
나라,88,159
파자,83,150
다마,73,159
가아,49,146
카바,48,145
마다,84,171
다타,83,142
차라,51,154
